shortnam,catho80,muslim80,lat_abst,no_cpm80,f_brit,f_french,avexpr,sjlofr,logpgp95,logem4,baseco
LKA,6.800000190734863,7.199999809265137,0.07777778059244156,85.5999984741211,1.0,0.0,6.045454502105713,0.0,7.731930732727051,4.245634078979492,1.0
LSO,43.5,0.0,0.3255555331707001,26.700000762939453,1.0,0.0,NaN,0.0,7.3065314292907715,NaN,NaN
LTU,80.0,0.0,0.6222222447395325,NaN,0.0,0.0,NaN,0.0,8.237479209899902,NaN,NaN
LUX,93.0,0.0,0.5494444370269775,5.800000190734863,0.0,0.0,10.0,1.0,10.288749694824219,NaN,NaN
LVA,18.200000762939453,0.009999999776482582,0.6333333253860474,67.69000244140625,0.0,0.0,NaN,0.0,8.15478801727295,NaN,NaN
MAR,0.20000000298023224,99.4000015258789,0.35555556416511536,0.3999984860420227,0.0,1.0,7.090909004211426,1.0,8.042378425598145,4.359269618988037,1.0
MDA,0.0,0.0,0.5222222208976746,100.0,0.0,0.0,NaN,0.0,7.377758979797363,NaN,NaN
MDG,26.0,1.7000000476837158,0.2222222238779068,50.29999923706055,0.0,1.0,4.454545497894287,1.0,6.835184574127197,6.28420877456665,1.0
MEX,94.69999694824219,0.0,0.25555557012557983,4.100003242492676,0.0,0.0,7.5,1.0,8.943767547607422,4.2626800537109375,1.0
MKD,0.5,30.100000381469727,0.4611110985279083,68.4000015258789,0.0,0.0,NaN,0.0,8.061487197875977,NaN,NaN
MLI,0.699999988079071,80.0,0.18888889253139496,19.100000381469727,0.0,1.0,4.0,1.0,6.56526517868042,7.9861650466918945,1.0
MLT,97.30000305175781,0.0,0.39444443583488464,2.1999969482421875,1.0,0.0,7.2272725105285645,1.0,9.42706298828125,2.7911651134490967,1.0
MMR,0.8999999761581421,3.5999999046325684,0.24444444477558136,92.30000305175781,1.0,0.0,5.7727274894714355,0.0,NaN,3.543853521347046,NaN
MNG,0.0,1.399999976158142,0.5111111402511597,98.5999984741211,0.0,0.0,7.363636493682861,0.0,7.299797534942627,NaN,NaN
MOZ,31.399999618530273,13.0,0.2016666680574417,48.79999923706055,0.0,0.0,6.5,1.0,6.46146821975708,NaN,NaN
MRT,0.30000001192092896,99.4000015258789,0.2222222238779068,0.2999984622001648,0.0,1.0,NaN,1.0,7.414572715759277,5.63478946685791,NaN
MUS,31.200000762939453,16.399999618530273,0.22411110997200012,51.5,1.0,0.0,NaN,1.0,9.053686141967773,3.417726755142212,NaN
MWI,27.600000381469727,16.200000762939453,0.14777778089046478,24.69999885559082,1.0,0.0,6.818181991577148,0.0,6.46146821975708,NaN,NaN
MYS,2.799999952316284,49.400001525878906,0.025555554777383804,46.39999771118164,1.0,0.0,7.954545497894287,0.0,8.894258499145508,2.8735647201538086,1.0
NAM,19.100000381469727,0.0,0.24444444477558136,16.700002670288086,1.0,0.0,NaN,0.0,8.515191078186035,NaN,NaN
NER,0.20000000298023224,87.9000015258789,0.17777778208255768,11.899998664855957,0.0,1.0,5.0,1.0,6.733401775360107,5.991464614868164,1.0
NGA,12.100000381469727,45.0,0.1111111119389534,27.099998474121094,1.0,0.0,5.545454502105713,0.0,6.8134446144104,7.602900505065918,1.0
NIC,94.69999694824219,0.0,0.14444445073604584,0.9000029563903809,0.0,0.0,5.2272725105285645,1.0,7.544332027435303,5.0955891609191895,1.0
NLD,42.599998474121094,1.0,0.5811110734939575,14.000003814697266,0.0,0.0,10.0,1.0,9.896965980529785,NaN,NaN
NOR,0.30000001192092896,0.10000000149011612,0.6888889074325562,1.8000046014785767,0.0,0.0,9.954545021057129,0.0,10.023933410644531,NaN,NaN
NPL,0.0,3.0,0.31111112236976624,97.0,1.0,0.0,NaN,0.0,6.937314033508301,NaN,NaN
NZL,18.700000762939453,0.0,0.4555555582046509,43.39999771118164,1.0,0.0,9.727272987365723,0.0,9.756147384643555,2.1459312438964844,1.0
OMN,0.10000000149011612,98.9000015258789,0.23333333432674408,0.8999984860420227,0.0,0.0,7.136363506317139,1.0,9.208338737487793,NaN,NaN
PAK,0.5,96.80000305175781,0.3333333432674408,1.8999969959259033,1.0,0.0,6.045454502105713,0.0,7.352441310882568,3.610647678375244,1.0
PAN,85.0,4.5,0.10000000149011612,5.300000190734863,0.0,0.0,5.909090995788574,1.0,8.836374282836914,5.0955891609191895,1.0
PER,95.0999984741211,0.0,0.1111111119389534,2.2000014781951904,0.0,0.0,5.7727274894714355,1.0,8.396154403686523,4.2626800537109375,1.0
PHL,84.0999984741211,4.300000190734863,0.14444445073604584,7.80000114440918,0.0,0.0,5.454545497894287,1.0,8.09864330291748,NaN,NaN
PNG,32.79999923706055,0.0,0.06666667014360428,8.799999237060547,1.0,0.0,7.2727274894714355,0.0,NaN,5.135798454284668,NaN
POL,81.0,0.0,0.5777778029441833,18.899999618530273,0.0,0.0,7.681818008422852,0.0,8.655214309692383,NaN,NaN
PRK,0.0,0.0,0.4444444477558136,100.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN
